Neighbourhood Number,Neighbourhood Name,Area Sq Km,Latitude,Longitude,Location,Geometry Point
4485,Lewis Farms Industrial,0.764211466,53.537548,-113.682864,"(53.53754834045398, -113.68286409708784)",POINT (-113.68286409708784 53.53754834045398)
5405,River Valley Windermere,2.829677314,53.436399,-113.636544,"(53.436398927087644, -113.63654392455123)",POINT (-113.63654392455123 53.436398927087644)
4477,Kinglet Gardens,2.637136934,53.577379,-113.701417,"(53.57737921937217, -113.70141746028726)",POINT (-113.70141746028726 53.57737921937217)
3410,Sherbrooke,0.926198949,53.575663,-113.547286,"(53.57566320833989, -113.54728563480555)",POINT (-113.54728563480555 53.57566320833989)
3260,Lauderdale,1.301509581,53.588449,-113.504256,"(53.58844884918568, -113.5042561895271)",POINT (-113.5042561895271 53.58844884918568)
4463,Riverview Area,10.27623048,53.425065,-113.663977,"(53.425064564233075, -113.66397668601269)",POINT (-113.66397668601269 53.425064564233075)
3440,Westmount,1.864285427,53.549988,-113.539974,"(53.54998824567558, -113.53997376593313)",POINT (-113.53997376593313 53.54998824567558)
6520,Mill Woods Town Centre,0.518415531,53.456458,-113.42748,"(53.45645846262913, -113.42748006003345)",POINT (-113.42748006003345 53.45645846262913)
4060,Britannia Youngstown,1.638283481,53.546295,-113.60151,"(53.546294619699125, -113.60151037145036)",POINT (-113.60151037145036 53.546294619699125)
6700,Strathcona Industrial Park,2.676954614,53.474056,-113.478776,"(53.474056405942974, -113.47877608234107)",POINT (-113.47877608234107 53.474056405942974)
4520,Summerlea,1.100465963,53.525627,-113.622633,"(53.525626554193735, -113.62263331985795)",POINT (-113.62263331985795 53.525626554193735)
4100,Carleton Square Industrial,0.410191631,53.57343,-113.608881,"(53.57343036695697, -113.60888124589249)",POINT (-113.60888124589249 53.57343036695697)
2030,Bannerman,0.733094192,53.60395,-113.378624,"(53.60394967909537, -113.37862372109305)",POINT (-113.37862372109305 53.60394967909537)
4012,Anthony Henday South West,4.547862961,53.464531,-113.637545,"(53.46453105315928, -113.63754527999589)",POINT (-113.63754527999589 53.46453105315928)
5466,Cashman,1.075855726,53.417458,-113.500695,"(53.417457576662756, -113.5006947004733)",POINT (-113.5006947004733 53.417457576662756)
5090,Brookside,1.194912121,53.491831,-113.568128,"(53.49183125791596, -113.56812781323816)",POINT (-113.56812781323816 53.49183125791596)
5100,Bulyea Heights,1.481005919,53.474747,-113.569424,"(53.474747116876706, -113.56942401003866)",POINT (-113.56942401003866 53.474747116876706)
2350,Homesteader,1.577836273,53.58472,-113.406459,"(53.58472042005873, -113.40645879994679)",POINT (-113.40645879994679 53.58472042005873)
2330,Highlands,1.147095825,53.565999,-113.430171,"(53.5659985899366, -113.43017053031933)",POINT (-113.43017053031933 53.5659985899366)
4290,Mayfield,0.867205324,53.555018,-113.59817,"(53.555018032798024, -113.59817021632989)",POINT (-113.59817021632989 53.555018032798024)
6570,Parsons Industrial,2.627118273,53.459795,-113.479382,"(53.45979539090987, -113.47938184232541)",POINT (-113.47938184232541 53.45979539090987)
4740,Webber Greens,1.136128318,53.530309,-113.676683,"(53.530309062031634, -113.6766833259057)",POINT (-113.6766833259057 53.530309062031634)
3050,Brown Industrial,0.375577825,53.582399,-113.568007,"(53.58239893620991, -113.56800736978647)",POINT (-113.56800736978647 53.58239893620991)
3150,Cumberland,1.456552453,53.610563,-113.553188,"(53.61056256776709, -113.55318813533495)",POINT (-113.55318813533495 53.61056256776709)
5470,Steinhauer,0.919831343,53.464529,-113.505938,"(53.46452881937576, -113.5059380229066)",POINT (-113.5059380229066 53.46452881937576)
2311,Gorman,2.909871793,53.623226,-113.38772,"(53.62322563898233, -113.38771998363745)",POINT (-113.38771998363745 53.62322563898233)
4430,Rio Terrace,0.582752352,53.507314,-113.584549,"(53.507314208720445, -113.58454862363249)",POINT (-113.58454862363249 53.507314208720445)
4018,Anthony Henday Big Lake,3.217779961,53.592211,-113.647881,"(53.592211358669644, -113.64788090698353)",POINT (-113.64788090698353 53.592211358669644)
2270,Evergreen,0.656220009,53.632277,-113.350484,"(53.63227726644656, -113.35048373187111)",POINT (-113.35048373187111 53.63227726644656)
6662,Walker,2.634179918,53.417651,-113.430435,"(53.41765060534617, -113.43043517236968)",POINT (-113.43043517236968 53.41765060534617)
6600,Richfield,0.944326678,53.469484,-113.458618,"(53.4694839683347, -113.45861750613018)",POINT (-113.45861750613018 53.4694839683347)
5550,Whitemud Creek Ravine North,0.752649645,53.486798,-113.556604,"(53.48679813431966, -113.55660432577199)",POINT (-113.55660432577199 53.48679813431966)
2710,Sifton Park,0.504042686,53.594525,-113.408402,"(53.59452510256868, -113.4084016044548)",POINT (-113.4084016044548 53.59452510256868)
6730,Terrace Heights,0.759785972,53.542081,-113.437801,"(53.542080743587455, -113.43780112956907)",POINT (-113.43780112956907 53.542080743587455)
4478,Pintail Landing,2.115744749,53.578414,-113.676609,"(53.57841373708909, -113.67660915273956)",POINT (-113.67660915273956 53.57841373708909)
3480,Hudson,0.736099087,53.604587,-113.553396,"(53.60458741126075, -113.55339575677799)",POINT (-113.55339575677799 53.60458741126075)
6442,Silver Berry,2.161978581,53.461159,-113.381406,"(53.461158969243044, -113.38140615996561)",POINT (-113.38140615996561 53.461158969243044)
2700,Schonsee,1.244692604,53.632363,-113.455146,"(53.63236258167562, -113.45514587837019)",POINT (-113.45514587837019 53.63236258167562)
5590,Blackburne,0.726415336,53.429071,-113.498309,"(53.42907132881578, -113.49830890620795)",POINT (-113.49830890620795 53.42907132881578)
1070,Cromdale,0.35887892,53.559061,-113.469043,"(53.55906091693039, -113.46904309009568)",POINT (-113.46904309009568 53.55906091693039)
2320,Hairsine,0.659467121,53.603838,-113.390923,"(53.60383771828289, -113.39092316159207)",POINT (-113.39092316159207 53.60383771828289)
4620,Westview Village,0.925300143,53.552222,-113.696668,"(53.55222205604668, -113.69666819900559)",POINT (-113.69666819900559 53.55222205604668)
3240,Inglewood,1.649850704,53.564606,-113.540852,"(53.56460646698089, -113.5408521708131)",POINT (-113.5408521708131 53.56460646698089)
1220,Rossdale,0.903141304,53.533155,-113.495797,"(53.53315473451525, -113.49579654469292)",POINT (-113.49579654469292 53.53315473451525)
1030,Central McDougall,1.202116911,53.553332,-113.501068,"(53.553331828524456, -113.50106809472395)",POINT (-113.50106809472395 53.553331828524456)
3220,Hagmann Estate Industrial,0.527778665,53.582176,-113.54495,"(53.58217611124326, -113.54495044190105)",POINT (-113.54495044190105 53.58217611124326)
4017,Anthony Henday Lake District,1.999250805,53.646909,-113.467371,"(53.64690939449852, -113.46737130801696)",POINT (-113.46737130801696 53.64690939449852)
4020,Aldergrove,1.490596016,53.516888,-113.641242,"(53.51688846991007, -113.64124199085683)",POINT (-113.64124199085683 53.51688846991007)
6260,Girard Industrial,0.497379971,53.51117,-113.437724,"(53.5111698547205, -113.43772379533199)",POINT (-113.43772379533199 53.5111698547205)
4022,Anthony Henday Clareview,1.354765146,53.618122,-113.357774,"(53.61812201213624, -113.3577738201179)",POINT (-113.3577738201179 53.61812201213624)
2530,McLeod,0.966538166,53.610353,-113.436671,"(53.61035321333695, -113.43667134671236)",POINT (-113.43667134671236 53.61035321333695)
4170,Garside Industrial,0.664488131,53.56675,-113.584178,"(53.56674982087874, -113.58417782459665)",POINT (-113.58417782459665 53.56674982087874)
6720,Tawa,0.664650395,53.461933,-113.427712,"(53.461932939768474, -113.42771213061141)",POINT (-113.42771213061141 53.461932939768474)
5151,Strathcona Junction,0.586610832,53.5082,-113.49469,"(53.50820045649327, -113.4946902943883)",POINT (-113.4946902943883 53.50820045649327)
3200,Glenora,1.621640056,53.544905,-113.557043,"(53.544904705207486, -113.55704251234017)",POINT (-113.55704251234017 53.544904705207486)
5579,Glenridding Ravine,2.69355968,53.410256,-113.608497,"(53.4102559432277, -113.60849679709432)",POINT (-113.60849679709432 53.4102559432277)
2400,Kildare,1.188673329,53.603293,-113.45515,"(53.60329283648903, -113.45515009570993)",POINT (-113.45515009570993 53.60329283648903)
4023,Anthony Henday Rampart,3.150181565,53.627635,-113.576203,"(53.62763458998669, -113.57620348379314)",POINT (-113.57620348379314 53.62763458998669)
3470,Carlton,1.206293559,53.621652,-113.559373,"(53.62165163516955, -113.55937325056279)",POINT (-113.55937325056279 53.62165163516955)
6170,Davies Industrial West,1.327029305,53.498436,-113.45036,"(53.49843616392958, -113.45035999966888)",POINT (-113.45035999966888 53.49843616392958)
6670,Sakaw,1.112077929,53.44198,-113.428828,"(53.44197993222192, -113.42882827217448)",POINT (-113.42882827217448 53.44197993222192)
8887,Edmonton South Central,34.56154725,53.3666,-113.571339,"(53.36660041945792, -113.57133935899353)",POINT (-113.57133935899353 53.36660041945792)
2630,River Valley Hermitage,2.181540097,53.591428,-113.408502,"(53.59142827242462, -113.40850196642839)",POINT (-113.40850196642839 53.59142827242462)
2500,Matt Berry,1.137771758,53.622254,-113.436022,"(53.62225395912099, -113.4360215291225)",POINT (-113.4360215291225 53.62225395912099)
6300,Hillview,1.102185648,53.46974,-113.427064,"(53.4697404141144, -113.42706400402514)",POINT (-113.42706400402514 53.4697404141144)
6230,Forest Heights,1.627311942,53.544537,-113.45125,"(53.544537072280974, -113.45125000606618)",POINT (-113.45125000606618 53.544537072280974)
2040,Beacon Heights,1.150205831,53.573539,-113.40604,"(53.57353937720545, -113.40604010233069)",POINT (-113.40604010233069 53.57353937720545)
3300,McQueen,0.705743961,53.554938,-113.571842,"(53.55493822806399, -113.57184249447859)",POINT (-113.57184249447859 53.55493822806399)
5060,Blue Quill,1.058050286,53.457627,-113.526237,"(53.45762652276185, -113.52623651519588)",POINT (-113.52623651519588 53.45762652276185)
4486,Stewart Greens,0.694723048,53.537584,-113.670536,"(53.537583614786115, -113.67053575222548)",POINT (-113.67053575222548 53.537583614786115)
6790,Wild Rose,1.772290011,53.470564,-113.381167,"(53.47056409015751, -113.3811672388747)",POINT (-113.3811672388747 53.47056409015751)
6460,Meyokumin,0.974079704,53.450113,-113.427258,"(53.4501131309388, -113.42725752651549)",POINT (-113.42725752651549 53.4501131309388)
3310,North Glenora,0.866766994,53.554941,-113.558265,"(53.554940888671084, -113.55826514897456)",POINT (-113.55826514897456 53.554940888671084)
6350,Kenilworth,1.148417585,53.521633,-113.431042,"(53.52163312280284, -113.43104243959984)",POINT (-113.43104243959984 53.52163312280284)
4014,Anthony Henday South,2.711568475,53.432209,-113.547667,"(53.432208842560044, -113.54766664487414)",POINT (-113.54766664487414 53.432208842560044)
6370,Kiniski Gardens,1.959489634,53.475924,-113.403303,"(53.47592374896073, -113.40330287696551)",POINT (-113.40330287696551 53.47592374896073)
1090,Downtown,2.309263885,53.539767,-113.499421,"(53.5397665935903, -113.49942068339652)",POINT (-113.49942068339652 53.5397665935903)
5565,Whitemud Creek Ravine Twin Brooks,1.63885781,53.442815,-113.54469,"(53.442814900952555, -113.54468951256436)",POINT (-113.54468951256436 53.442814900952555)
6663,Decoteau,12.77165064,53.41028,-113.369086,"(53.41027983946482, -113.36908558830032)",POINT (-113.36908558830032 53.41027983946482)
4464,The Uplands,3.572663224,53.461707,-113.65822,"(53.461707245797, -113.65821967469566)",POINT (-113.65821967469566 53.461707245797)
4230,Jasper Park,0.665285409,53.52307,-113.584105,"(53.523070066898704, -113.58410530217142)",POINT (-113.58410530217142 53.523070066898704)
3170,Dovercourt,1.001265081,53.575727,-113.559534,"(53.57572651756179, -113.55953411141283)",POINT (-113.55953411141283 53.57572651756179)
3190,Elsinore,0.841468209,53.640763,-113.499402,"(53.64076339210679, -113.49940214606396)",POINT (-113.49940214606396 53.64076339210679)
2390,Kernohan,0.891282105,53.5894,-113.380164,"(53.58939978192427, -113.38016431101529)",POINT (-113.38016431101529 53.58939978192427)
5570,Windermere,4.773447486,53.432563,-113.626008,"(53.43256309588482, -113.62600779671197)",POINT (-113.62600779671197 53.43256309588482)
3430,Wellington,1.219222728,53.595833,-113.552695,"(53.59583297330853, -113.55269493371438)",POINT (-113.55269493371438 53.59583297330853)
2560,Newton,1.065556324,53.576424,-113.424532,"(53.576424371861776, -113.42453203198151)",POINT (-113.42453203198151 53.576424371861776)
4487,Secord,2.653531964,53.533862,-113.701352,"(53.53386206901972, -113.70135225119625)",POINT (-113.70135225119625 53.53386206901972)
4140,Elmwood,1.025925189,53.515738,-113.605993,"(53.515738255461834, -113.60599332906781)",POINT (-113.60599332906781 53.515738255461834)
5130,Carter Crest,0.666751901,53.464885,-113.577802,"(53.46488524760014, -113.57780188747415)",POINT (-113.57780188747415 53.46488524760014)
1270,Yellowhead Corridor East,1.430508562,53.579205,-113.451964,"(53.57920536701183, -113.4519641880081)",POINT (-113.4519641880081 53.57920536701183)
6530,Minchau,0.905518905,53.469829,-113.412766,"(53.46982918280456, -113.41276586378572)",POINT (-113.41276586378572 53.46982918280456)
4350,Norwester Industrial,0.688147604,53.566738,-113.608884,"(53.56673770424075, -113.60888372765902)",POINT (-113.60888372765902 53.56673770424075)
6330,Jackson Heights,1.267804746,53.48166,-113.410848,"(53.481660241744535, -113.41084771732)",POINT (-113.41084771732 53.481660241744535)
6441,Maple,1.831670319,53.475394,-113.354102,"(53.47539365142108, -113.35410220279269)",POINT (-113.35410220279269 53.47539365142108)
4280,Lynnwood,0.89501517,53.515701,-113.589909,"(53.51570132512691, -113.58990906495784)",POINT (-113.58990906495784 53.51570132512691)
6250,Gainer Industrial,0.342464542,53.516111,-113.424517,"(53.51611056578212, -113.42451661065832)",POINT (-113.42451661065832 53.51611056578212)
6450,Menisa,0.894270243,53.44207,-113.447375,"(53.44206966002856, -113.44737493654873)",POINT (-113.44737493654873 53.44206966002856)
4490,Sheffield Industrial,0.379683786,53.560816,-113.596596,"(53.56081597101263, -113.5965957203426)",POINT (-113.5965957203426 53.56081597101263)
4468,Stillwater,3.369544768,53.443256,-113.676743,"(53.44325646560284, -113.67674311132737)",POINT (-113.67674311132737 53.44325646560284)
4210,High Park Industrial,0.388799173,53.56104,-113.584248,"(53.56103990686198, -113.5842482432311)",POINT (-113.5842482432311 53.56103990686198)
2280,Fraser,1.308532517,53.610382,-113.374782,"(53.610382173879735, -113.37478157988564)",POINT (-113.37478157988564 53.610382173879735)
6640,Roper Industrial,2.948912143,53.4958,-113.430431,"(53.49580024651547, -113.43043074541949)",POINT (-113.43043074541949 53.49580024651547)
4473,Hawks Ridge,1.483260044,53.588457,-113.701466,"(53.58845698087801, -113.7014664423935)",POINT (-113.7014664423935 53.58845698087801)
5560,Whitemud Creek Ravine South,2.249951222,53.468499,-113.560341,"(53.46849885499151, -113.56034051757943)",POINT (-113.56034051757943 53.46849885499151)
2720,York,1.188834109,53.602843,-113.430212,"(53.602843422226414, -113.43021231041563)",POINT (-113.43021231041563 53.602843422226414)
2660,Rundle Heights,0.823977764,53.563221,-113.391922,"(53.563221377701616, -113.39192226136683)",POINT (-113.39192226136683 53.563221377701616)
4021,Anthony Henday Horse Hill,1.121810608,53.633205,-113.38747,"(53.6332051337456, -113.38747014506421)",POINT (-113.38747014506421 53.6332051337456)
4360,Oleskiw,1.325996346,53.49734,-113.608765,"(53.49733975805122, -113.60876540591585)",POINT (-113.60876540591585 53.49733975805122)
2671,Marquis,9.979104532,53.650586,-113.325964,"(53.65058566599254, -113.32596410860153)",POINT (-113.32596410860153 53.65058566599254)
5469,Paisley,0.65311431,53.414011,-113.559273,"(53.41401134118655, -113.55927337307764)",POINT (-113.55927337307764 53.41401134118655)
2511,Mayliewan,1.195862614,53.62229,-113.460264,"(53.62229029864068, -113.46026446188358)",POINT (-113.46026446188358 53.62229029864068)
4240,La Perle,1.335331748,53.533088,-113.640709,"(53.53308754559413, -113.6407085980886)",POINT (-113.6407085980886 53.53308754559413)
1280,Yellowhead Corridor West,1.164862387,53.582841,-113.512729,"(53.58284074814297, -113.51272863330269)",POINT (-113.51272863330269 53.58284074814297)
6420,Maple Ridge Industrial,3.745472437,53.498009,-113.356365,"(53.49800897204049, -113.35636503425494)",POINT (-113.35636503425494 53.49800897204049)
1160,Parkdale,0.951677942,53.565716,-113.47135,"(53.56571569943334, -113.4713503779581)",POINT (-113.4713503779581 53.56571569943334)
6500,Mill Woods Golf Course,1.394112761,53.482062,-113.430425,"(53.48206208566782, -113.43042543602212)",POINT (-113.43042543602212 53.48206208566782)
4466,Cameron Heights,0.968762857,53.474127,-113.634359,"(53.47412664878577, -113.6343594265562)",POINT (-113.6343594265562 53.47412664878577)
4130,Edmiston Industrial,1.182252873,53.565847,-113.632747,"(53.56584737012882, -113.63274685345706)",POINT (-113.63274685345706 53.56584737012882)
2230,Delwood,1.334660715,53.595949,-113.45513,"(53.59594894276053, -113.4551303486196)",POINT (-113.4551303486196 53.59594894276053)
5401,River Valley Fort Edmonton,0.990623024,53.500911,-113.581031,"(53.50091068696626, -113.58103079344446)",POINT (-113.58103079344446 53.50091068696626)
6680,Satoo,1.312641975,53.446373,-113.458892,"(53.44637282810994, -113.45889160765203)",POINT (-113.45889160765203 53.44637282810994)
4570,Wedgewood Heights,0.708630278,53.478714,-113.64658,"(53.47871449416715, -113.64658024133502)",POINT (-113.64658024133502 53.47871449416715)
2080,Belvedere,1.673634048,53.591057,-113.436063,"(53.59105689715699, -113.436062931766)",POINT (-113.436062931766 53.59105689715699)
3210,Grovenor,0.920761725,53.545399,-113.571912,"(53.54539881319475, -113.57191166572068)",POINT (-113.57191166572068 53.54539881319475)
6110,CPR Irvine,0.663609744,53.507527,-113.490549,"(53.50752668934572, -113.4905491361979)",POINT (-113.4905491361979 53.50752668934572)
6470,Meyonohk,0.873954039,53.455342,-113.457243,"(53.455341806482764, -113.45724258627415)",POINT (-113.45724258627415 53.455341806482764)
5180,Ermineskin,1.204175635,53.457639,-113.505728,"(53.45763949074272, -113.50572830551565)",POINT (-113.50572830551565 53.45763949074272)
3111,Griesbach,2.696719632,53.606808,-113.504229,"(53.606808368716784, -113.50422914591672)",POINT (-113.50422914591672 53.606808368716784)
4580,West Jasper Place,0.890709249,53.53663,-113.584144,"(53.53662987133278, -113.58414434604617)",POINT (-113.58414434604617 53.53662987133278)
6030,Bisset,0.943123749,53.458905,-113.400659,"(53.45890549448208, -113.40065946435666)",POINT (-113.40065946435666 53.45890549448208)
5467,Cavanagh,1.939596073,53.405981,-113.512019,"(53.40598149543786, -113.51201888496817)",POINT (-113.51201888496817 53.40598149543786)
5020,Aspen Gardens,0.666305577,53.477535,-113.545664,"(53.4775353137158, -113.54566430757839)",POINT (-113.54566430757839 53.4775353137158)
6211,Ellerslie,1.579637406,53.428545,-113.457731,"(53.428545409104174, -113.45773137943719)",POINT (-113.45773137943719 53.428545409104174)
5575,Windermere Area,3.713270581,53.403015,-113.631796,"(53.40301453182545, -113.63179590032422)",POINT (-113.63179590032422 53.40301453182545)
5010,Allendale,0.883530645,53.502277,-113.504821,"(53.50227700015803, -113.50482111013511)",POINT (-113.50482111013511 53.50227700015803)
3120,Chambery,0.728801619,53.640764,-113.511761,"(53.640763764687975, -113.51176139201553)",POINT (-113.51176139201553 53.640763764687975)
5640,Terwillegar Towne,1.869542026,53.45067,-113.577738,"(53.45067025466003, -113.5777384340015)",POINT (-113.5777384340015 53.45067025466003)
6580,Pollard Meadows,1.052584872,53.449115,-113.413032,"(53.44911501879785, -113.41303221696194)",POINT (-113.41303221696194 53.44911501879785)
3360,Rampart Industrial,3.639806963,53.614087,-113.5779,"(53.61408716665255, -113.57790016806192)",POINT (-113.57790016806192 53.61408716665255)
3350,Prince Charles,0.79011728,53.575635,-113.536002,"(53.575635452188386, -113.53600199079429)",POINT (-113.53600199079429 53.575635452188386)
1190,River Valley Kinnaird,0.855767857,53.554249,-113.469524,"(53.55424923247722, -113.46952354863328)",POINT (-113.46952354863328 53.55424923247722)
1130,Elmwood Park,0.479573438,53.579591,-113.460917,"(53.579591384284306, -113.46091680973095)",POINT (-113.46091680973095 53.579591384284306)
1080,Delton,0.679807429,53.579046,-113.482449,"(53.57904638464889, -113.48244944665866)",POINT (-113.48244944665866 53.57904638464889)
4500,Sherwood,0.44069687,53.529102,-113.584145,"(53.529101766623015, -113.58414504983935)",POINT (-113.58414504983935 53.529101766623015)
1020,Boyle Street,0.881352169,53.547631,-113.479263,"(53.547631045669235, -113.47926288099585)",POINT (-113.47926288099585 53.547631045669235)
4670,Winterburn Industrial Area West,4.340206383,53.562804,-113.701391,"(53.562803614238916, -113.70139052246645)",POINT (-113.70139052246645 53.562803614238916)
5540,Westbrook Estates,1.165428147,53.468213,-113.544452,"(53.46821272972812, -113.54445207698336)",POINT (-113.54445207698336 53.46821272972812)
3290,McArthur Industrial,0.574667189,53.594324,-113.564262,"(53.59432400115759, -113.56426243493866)",POINT (-113.56426243493866 53.59432400115759)
4016,Anthony Henday Castledowns,1.998027066,53.643298,-113.533281,"(53.64329787171042, -113.53328134707098)",POINT (-113.53328134707098 53.64329787171042)
5340,Ramsay Heights,1.310840432,53.483368,-113.579034,"(53.483367623497735, -113.57903399166699)",POINT (-113.57903399166699 53.483367623497735)
6380,Lambton Industrial,0.638283305,53.522269,-113.413848,"(53.52226920929631, -113.41384788971564)",POINT (-113.41384788971564 53.52226920929631)
6630,River Valley Riverside,1.249359602,53.548459,-113.463397,"(53.54845932800452, -113.46339725832391)",POINT (-113.46339725832391 53.54845932800452)
1170,Prince Rupert,1.144950029,53.564595,-113.524118,"(53.56459450201589, -113.52411765329595)",POINT (-113.52411765329595 53.56459450201589)
6610,Ritchie,1.27010192,53.513275,-113.482742,"(53.51327510136197, -113.48274211553915)",POINT (-113.48274211553915 53.51327510136197)
2611,Cy Becker,1.011980149,53.632363,-113.406924,"(53.63236275941958, -113.40692407533237)",POINT (-113.40692407533237 53.63236275941958)
4451,River Valley Oleskiw,2.473088412,53.488851,-113.601428,"(53.48885107431074, -113.60142818278396)",POINT (-113.60142818278396 53.48885107431074)
3020,Baranow,0.779205035,53.605734,-113.536103,"(53.605734484241324, -113.53610327823839)",POINT (-113.53610327823839 53.605734484241324)
4560,Thorncliff,0.898130392,53.516698,-113.622828,"(53.516698393669, -113.62282783095934)",POINT (-113.62282783095934 53.516698393669)
6510,Mill Woods Park,0.490425045,53.455865,-113.441306,"(53.4558654123871, -113.44130550418193)",POINT (-113.44130550418193 53.4558654123871)
4710,Potter Greens,1.181914253,53.518279,-113.6726,"(53.51827868869546, -113.67260032325808)",POINT (-113.67260032325808 53.51827868869546)
2690,Rural North East South Sturgeon,15.45075746,53.618981,-113.323512,"(53.61898141942335, -113.32351202041409)",POINT (-113.32351202041409 53.61898141942335)
3330,Parkview,1.546448246,53.52406,-113.567914,"(53.524060365765735, -113.56791414354251)",POINT (-113.56791414354251 53.524060365765735)
5620,Hodgson,0.690446028,53.457673,-113.559807,"(53.45767349901615, -113.55980720018559)",POINT (-113.55980720018559 53.45767349901615)
4019,Anthony Henday Energy Park,2.294456414,53.639588,-113.407223,"(53.63958765126128, -113.40722274479998)",POINT (-113.40722274479998 53.63958765126128)
3090,Carlisle,0.961896778,53.60352,-113.525915,"(53.603520218665025, -113.5259146262839)",POINT (-113.5259146262839 53.603520218665025)
